epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.101,5.13439,3.13556,3.40115,0,0,0,0,6.78989,4.21747,4.53879,0.000661333,0.000661333,0.000661333
2,265.199,3.56705,2.13952,2.34622,0.33256,0.22847,0.20849,0.0639,3.54637,2.18397,2.29675,0.00132669,0.00132669,0.00132669
3,413.916,3.13178,1.91866,2.04158,0.22573,0.25665,0.14651,0.04119,2.77,3.00363,1.93428,0.00199072,0.00199072,0.00199072
4,606.078,2.86915,1.74698,1.85783,0.57665,0.43813,0.48256,0.1726,2.71496,1.58952,1.88655,0.00199406,0.00199406,0.00199406
5,687.866,2.68428,1.644,1.73074,0.48167,0.39035,0.38569,0.11557,2.68895,1.73347,1.72109,0.00199208,0.00199208,0.00199208
6,814.898,2.56395,1.54267,1.64391,0.69726,0.56648,0.62809,0.2475,2.28636,1.46374,1.54942,0.0019901,0.0019901,0.0019901
7,917.929,2.43281,1.42497,1.57233,0.76906,0.60627,0.69799,0.29221,2.21926,1.26927,1.52749,0.00198812,0.00198812,0.00198812
8,1005.17,2.35771,1.37379,1.51359,0.68429,0.55273,0.61689,0.23936,2.35007,1.34826,1.60195,0.00198614,0.00198614,0.00198614
9,1160.71,2.30547,1.31622,1.46703,0.80158,0.64678,0.72834,0.32233,2.09092,1.22342,1.45277,0.00198416,0.00198416,0.00198416
10,1272.44,2.21744,1.25161,1.42406,0.82235,0.66569,0.75254,0.34285,2.08219,1.16653,1.44074,0.00198218,0.00198218,0.00198218
11,1324.03,2.14076,1.21968,1.41219,0.84258,0.65115,0.75579,0.35747,2.01878,1.1291,1.42946,0.0019802,0.0019802,0.0019802
12,1530.12,2.11684,1.16271,1.37626,0.81642,0.65056,0.73842,0.33349,2.05704,1.28914,1.42056,0.00197822,0.00197822,0.00197822
13,1632.9,2.19936,1.22824,1.39563,0.76731,0.58917,0.67852,0.26134,2.29899,1.24794,1.53249,0.00197624,0.00197624,0.00197624
14,1713.4,2.10214,1.16816,1.35125,0.86388,0.70689,0.79168,0.37282,1.95708,1.11922,1.37453,0.00197426,0.00197426,0.00197426
15,1790.54,2.0185,1.08868,1.31884,0.88785,0.72317,0.81117,0.39132,1.92712,1.01387,1.3401,0.00197228,0.00197228,0.00197228
16,1881.27,2.01052,1.08966,1.3174,0.88332,0.70754,0.8015,0.40049,1.90017,1.02603,1.34565,0.0019703,0.0019703,0.0019703
17,1969.07,1.98444,1.07191,1.30532,0.88776,0.72556,0.81243,0.39627,1.92845,0.99817,1.33891,0.00196832,0.00196832,0.00196832
18,2040.71,1.96705,1.03406,1.27981,0.90266,0.73623,0.82467,0.42175,1.8433,0.95176,1.30065,0.00196634,0.00196634,0.00196634
19,2120.21,1.96345,1.03431,1.29165,0.90074,0.74236,0.82649,0.41438,1.87386,0.9677,1.30149,0.00196436,0.00196436,0.00196436
20,2231.69,1.97402,1.01784,1.2743,0.90753,0.74822,0.83139,0.42223,1.85436,0.96461,1.30618,0.00196238,0.00196238,0.00196238
21,2380.56,1.90779,0.99087,1.26504,0.90674,0.74059,0.82908,0.42262,1.86626,0.94084,1.29077,0.0019604,0.0019604,0.0019604
22,2456.57,1.92513,0.98724,1.25876,0.91901,0.75271,0.83921,0.44115,1.78284,0.90604,1.26801,0.00195842,0.00195842,0.00195842
23,2561.57,1.85974,0.96194,1.24166,0.92293,0.75118,0.84149,0.45036,1.76326,0.91246,1.25493,0.00195644,0.00195644,0.00195644
24,2630.06,1.89318,0.95061,1.23482,0.92876,0.75632,0.84661,0.45358,1.74945,0.886,1.24577,0.00195446,0.00195446,0.00195446
25,2827.2,1.86221,0.94236,1.22898,0.93482,0.77212,0.85323,0.46374,1.73879,0.85475,1.24026,0.00195248,0.00195248,0.00195248
26,2911.73,1.85959,0.94032,1.24201,0.92995,0.76713,0.84964,0.45624,1.755,0.85971,1.23708,0.0019505,0.0019505,0.0019505
27,3012.94,1.86209,0.92492,1.22878,0.93235,0.77703,0.8541,0.46928,1.69901,0.84813,1.22149,0.00194852,0.00194852,0.00194852
